#,Priority,Done? (y/n),Status,Category,Segment,ALM rank,Product,FILENAME 01 (front - required),FILENAME 02 (back label - optional),Price,Cost ex GST,Barcode,ALM item code,Supplier,Why this priority
15,P1,,TO ADD,Wine,SPARKLING RED,1,A/Garrett NV Sparkling Shiraz 750mL,a-garrett-nv-sparkling-shiraz-750ml-01.jpg,a-garrett-nv-sparkling-shiraz-750ml-02.jpg,16.99,11.15,9315212006834,515513,VOK BEVERAGES - WINES,ALM top-3 in its segment - proven volume
16,P1,,TO ADD,Wine,WINE OTHER,1,Divas Vkat 700mL,divas-vkat-700ml-01.jpg,divas-vkat-700ml-02.jpg,13.99,9.49,9331772900047,561205,DIVAS BEVERAGES AUSTRALIA,ALM top-3 in its segment - proven volume
17,P1,,TO ADD,Wine,SPARKLING ROSE,1,Yellowglen Pink Sparkling Rosé 750mL,yellowglen-pink-sparkling-rose-750ml-01.jpg,yellowglen-pink-sparkling-rose-750ml-02.jpg,10.99,7.17,9300770050726,792225,TREASURY WINE ESTATES,ALM top-3 in its segment - proven volume
18,P1,,TO ADD,Rtds,RTD'S,1,Bundaberg Up and Cola 4.6% Cube 375mL,bundaberg-up-and-cola-4-6-cube-375ml-01.jpg,bundaberg-up-and-cola-4-6-cube-375ml-02.jpg,,91.88,9310495075249,552086,,"ALM top-3 in its segment - proven volume | MULTIPACK - cost is per carton/cube, price to set by hand"
19,P1,,TO ADD,Spirits,BOURBON,2,Jack Daniel's Black Label 1L,jack-daniel-s-black-label-1l-01.jpg,jack-daniel-s-black-label-1l-02.jpg,108.99,74.15,0082184045367,561145,,ALM top-3 in its segment - proven volume
20,P1,,TO ADD,Spirits,TEQUILA,2,Espolon Tequila Blanco 700mL,espolon-tequila-blanco-700ml-01.jpg,espolon-tequila-blanco-700ml-02.jpg,83.99,57.16,0664804000934,574533,,ALM top-3 in its segment - proven volume
21,P1,,TO ADD,Wine,SPARKLING CHAMPAGNE,2,Mumm Cord Rouge NV Champ 750mL,mumm-cord-rouge-nv-champ-750ml-01.jpg,mumm-cord-rouge-nv-champ-750ml-02.jpg,81.99,55.46,3043700103814,535704,PERNOD RICARD AUST P/L,ALM top-3 in its segment - proven volume
22,P1,,TO ADD,Spirits,SCOTCH,2,Chivas Regal Scotch 12YO 700mL,chivas-regal-scotch-12yo-700ml-01.jpg,chivas-regal-scotch-12yo-700ml-02.jpg,76.99,52.49,0080432402931,557099,,ALM top-3 in its segment - proven volume
23,P1,,TO ADD,Rtds,RTD'S,2,Jack Daniel's and Cola 10 pack 375mL,jack-daniel-s-and-cola-10-pack-375ml-01.jpg,jack-daniel-s-and-cola-10-pack-375ml-02.jpg,71.99,48.82,9310733301321,511349,,ALM top-3 in its segment - proven volume
24,P1,,TO ADD,Spirits,RUM GOLD,2,Captain Morgan Spice Gold Au 700mL,captain-morgan-spice-gold-au-700ml-01.jpg,captain-morgan-spice-gold-au-700ml-02.jpg,66.99,45.12,5000281037011,363369,,ALM top-3 in its segment - proven volume
25,P1,,TO ADD,Spirits,RUM DARK,2,Bundaberg Rum Up 700mL,bundaberg-rum-up-700ml-01.jpg,bundaberg-rum-up-700ml-02.jpg,64.99,44.13,9311866005049,523587,,ALM top-3 in its segment - proven volume
26,P1,,TO ADD,Wine,WINE SPARKLING WHITE,2,Brown Brothers Prosecco NV 750mL,brown-brothers-prosecco-nv-750ml-01.jpg,brown-brothers-prosecco-nv-750ml-02.jpg,19.99,13.07,0029147360952,524376,BROWN FAMILY WINE GROUP,ALM top-3 in its segment - proven volume
27,P1,,TO ADD,Spirits,OTHER SPIRITS,2,St Agnes VS Brandy 150mL,st-agnes-vs-brandy-150ml-01.jpg,st-agnes-vs-brandy-150ml-02.jpg,15.99,10.46,93694117,582976,,ALM top-3 in its segment - proven volume
28,P1,,TO ADD,Wine,MOSCATO,2,Banrock Station Moscato S/ 1L,banrock-station-moscato-s-1l-01.jpg,banrock-station-moscato-s-1l-02.jpg,11.99,8.02,9311043766282,666445,VINARCHY AUSTRALIA,ALM top-3 in its segment - proven volume
29,P1,,TO ADD,Wine,SPARKLING ROSE,2,Yellowtail Bubbles Rosé 750mL,yellowtail-bubbles-rose-750ml-01.jpg,yellowtail-bubbles-rose-750ml-02.jpg,10.99,7.35,9322214011209,654663,CASELLA WINES PTY LTD,ALM top-3 in its segment - proven volume
30,P1,,TO ADD,Wine,STILL WHITE,2,Hardys Vr Sauvignon Blanc 1L,hardys-vr-sauvignon-blanc-1l-01.jpg,hardys-vr-sauvignon-blanc-1l-02.jpg,10.99,6.91,9311043090486,539224,VINARCHY AUSTRALIA,ALM top-3 in its segment - proven volume
31,P1,,TO ADD,Wine,WINE OTHER,2,De Bortoli S/Hil Tawny 750mL,de-bortoli-s-hil-tawny-750ml-01.jpg,de-bortoli-s-hil-tawny-750ml-02.jpg,7.99,5.29,9300752020181,515869,DE BORTOLI WINES PTY LIMI,ALM top-3 in its segment - proven volume
32,P1,,TO ADD,Wine,SPARKLING CHAMPAGNE,3,Veuve/ Yellow NV 750mL,veuve-yellow-nv-750ml-01.jpg,veuve-yellow-nv-750ml-02.jpg,118.99,80.64,3049614222245,536946,MOET HENNESSY AUSTRALIA,ALM top-3 in its segment - proven volume
33,P1,,TO ADD,Spirits,WHISKEY,3,Jameson Irish Whisky 1L,jameson-irish-whisky-1l-01.jpg,jameson-irish-whisky-1l-02.jpg,101.99,69.39,5011007003227,590314,,ALM top-3 in its segment - proven volume
34,P1,,TO ADD,Spirits,RUM DARK,3,Kraken Black Spiced Rum 700mL,kraken-black-spiced-rum-700ml-01.jpg,kraken-black-spiced-rum-700ml-02.jpg,82.99,56.04,0811538013055,558430,,ALM top-3 in its segment - proven volume
35,P1,,TO ADD,Spirits,TEQUILA,3,Olmeca Altos Plata 700mL,olmeca-altos-plata-700ml-01.jpg,olmeca-altos-plata-700ml-02.jpg,80.99,54.74,7501003698636,97609,,ALM top-3 in its segment - proven volume
36,P1,,TO ADD,Spirits,BOURBON,3,Jack Daniel's Black Label 700mL,jack-daniel-s-black-label-700ml-01.jpg,jack-daniel-s-black-label-700ml-02.jpg,76.99,52.14,0082184045954,568595,,ALM top-3 in its segment - proven volume
37,P1,,TO ADD,Spirits,RUM GOLD,3,Sailor Jerry Spiced Rum 700mL,sailor-jerry-spiced-rum-700ml-01.jpg,sailor-jerry-spiced-rum-700ml-02.jpg,68.99,46.61,5010327405223,563511,,ALM top-3 in its segment - proven volume
38,P1,,TO ADD,Spirits,SCOTCH,3,Johnnie Walker Red Label 700mL,johnnie-walker-red-label-700ml-01.jpg,johnnie-walker-red-label-700ml-02.jpg,65.99,44.82,5000267014203,566666,,ALM top-3 in its segment - proven volume
39,P1,,TO ADD,Spirits,VODKA,3,Smirnoff Vodka Red 37% 700mL,smirnoff-vodka-red-37-700ml-01.jpg,smirnoff-vodka-red-37-700ml-02.jpg,63.99,43.19,9310495084067,19486,,ALM top-3 in its segment - proven volume
40,P1,,TO ADD,Spirits,OTHER SPIRITS,3,Campari Aperitif Nupk 700mL,campari-aperitif-nupk-700ml-01.jpg,campari-aperitif-nupk-700ml-02.jpg,61.99,41.81,8000040001106,549334,,ALM top-3 in its segment - proven volume
41,P1,,TO ADD,Wine,STILL WHITE,3,Squealing Pig Sauvignon Blanc 750mL,squealing-pig-sauvignon-blanc-750ml-01.jpg,squealing-pig-sauvignon-blanc-750ml-02.jpg,19.99,13.24,9415305127092,508744,TREASURY WINE ESTATES,ALM top-3 in its segment - proven volume
42,P1,,TO ADD,Wine,MOSCATO,3,Brown Brothers Moscato Rosé 750mL,brown-brothers-moscato-rose-750ml-01.jpg,brown-brothers-moscato-rose-750ml-02.jpg,17.99,11.69,0029147139992,570071,BROWN FAMILY WINE GROUP,ALM top-3 in its segment - proven volume
43,P1,,TO ADD,Wine,WINE SPARKLING WHITE,3,Jacobs Ck Chardonnay Pinot 750mL,jacobs-ck-chardonnay-pinot-750ml-01.jpg,jacobs-ck-chardonnay-pinot-750ml-02.jpg,11.99,7.53,9311043403309,553304,VINARCHY AUSTRALIA,ALM top-3 in its segment - proven volume
44,P1,,TO ADD,Wine,SPARKLING RED,3,Yellowglen Red 750mL,yellowglen-red-750ml-01.jpg,yellowglen-red-750ml-02.jpg,10.99,7.17,9300770050153,770786,TREASURY WINE ESTATES,ALM top-3 in its segment - proven volume
45,P1,,TO ADD,Wine,SPARKLING ROSE,3,Yellowglen Pink 65 NV 750mL,yellowglen-pink-65-nv-750ml-01.jpg,yellowglen-pink-65-nv-750ml-02.jpg,10.99,7.17,9300770002749,574850,TREASURY WINE ESTATES,ALM top-3 in its segment - proven volume
46,P1,,TO ADD,Wine,STILL RED,3,Hardys Vr Shiraz 1L,hardys-vr-shiraz-1l-01.jpg,hardys-vr-shiraz-1l-02.jpg,10.99,6.91,9311043090479,535267,VINARCHY AUSTRALIA,ALM top-3 in its segment - proven volume
47,P1,,TO ADD,Wine,WINE OTHER,3,Wolf Blass Red Label Twny Prt 750mL,wolf-blass-red-label-twny-prt-750ml-01.jpg,wolf-blass-red-label-twny-prt-750ml-02.jpg,8.99,6.05,9312088000164,506307,TREASURY WINE ESTATES,ALM top-3 in its segment - proven volume
48,P1,,TO ADD,Spirits,RUM WHITE,3,Bacardi Carta Blanca 1L,bacardi-carta-blanca-1l-788292-01.jpg,bacardi-carta-blanca-1l-788292-02.jpg,,,,788292,,ALM top-3 in its segment - proven volume
49,P1,,TO ADD,Rtds,RTD'S,3,Jim Beam&Cola 4.8% Cube 375mL,jim-beam-cola-4-8-cube-375ml-01.jpg,jim-beam-cola-4-8-cube-375ml-02.jpg,,89.83,9300624029472,42167,,"ALM top-3 in its segment - proven volume | MULTIPACK - cost is per carton/cube, price to set by hand"
50,P2,,EXISTING DRAFT,Wine,,,San Polo Brunello di Montalcino DOCG Vignavecchia 2017 Sangiovese Tuscany Italy,san-polo-brunello-di-montalcino-docg-vignavecchia-2017-sangiovese-tuscany-italy-01.jpg,san-polo-brunello-di-montalcino-docg-vignavecchia-2017-sangiovese-tuscany-italy-02.jpg,806.99,550.00,,,,costed and priced already - the image is the only thing stopping it going live
51,P2,,EXISTING DRAFT,Wine,,,Perrier-Jouet Belle Epoque Blanc de Blanc,perrier-jouet-belle-epoque-blanc-de-blanc-01.jpg,perrier-jouet-belle-epoque-blanc-de-blanc-02.jpg,662.99,451.56,,,,costed and priced already - the image is the only thing stopping it going live
52,P2,,EXISTING DRAFT,Wine,,,Champagne Deutz Amour de Deutz Brut Millesime 2011,champagne-deutz-amour-de-deutz-brut-millesime-2011-01.jpg,champagne-deutz-amour-de-deutz-brut-millesime-2011-02.jpg,469.99,319.84,,,,costed and priced already - the image is the only thing stopping it going live
53,P2,,EXISTING DRAFT,Wine,,,Brokenwood Graveyard Shiraz,brokenwood-graveyard-shiraz-01.jpg,brokenwood-graveyard-shiraz-02.jpg,442.99,301.54,,,,costed and priced already - the image is the only thing stopping it going live
54,P2,,EXISTING DRAFT,Wine,,,Poggio Al Tesoro Dedicato A Walter Bolgheri Superiore DOC Tuscany Italy,poggio-al-tesoro-dedicato-a-walter-bolgheri-superiore-doc-tuscany-italy-01.jpg,poggio-al-tesoro-dedicato-a-walter-bolgheri-superiore-doc-tuscany-italy-02.jpg,403.99,275.00,,,,costed and priced already - the image is the only thing stopping it going live
55,P2,,EXISTING DRAFT,Wine,,,Joseph Drouhin Gevrey Chambertin,joseph-drouhin-gevrey-chambertin-01.jpg,joseph-drouhin-gevrey-chambertin-02.jpg,380.99,259.68,,,,costed and priced already - the image is the only thing stopping it going live
56,P2,,EXISTING DRAFT,Wine,,,Kaesler Old Bastard Shiraz,kaesler-old-bastard-shiraz-01.jpg,kaesler-old-bastard-shiraz-02.jpg,366.99,249.98,,,,costed and priced already - the image is the only thing stopping it going live
57,P2,,EXISTING DRAFT,Wine,,,Château d'Esclans Garrus,chateau-d-esclans-garrus-01.jpg,chateau-d-esclans-garrus-02.jpg,337.99,230.20,,,,costed and priced already - the image is the only thing stopping it going live
58,P2,,EXISTING DRAFT,Wine,,,Lacourte-Godbillon Mont Ames-Migreats Premier Cru (Pinot Noir) - Champagne France,lacourte-godbillon-mont-ames-migreats-premier-cru-pinot-noir-champagne-france-01.jpg,lacourte-godbillon-mont-ames-migreats-premier-cru-pinot-noir-champagne-france-02.jpg,311.99,212.30,,,,costed and priced already - the image is the only thing stopping it going live
59,P2,,EXISTING DRAFT,Wine,,,Kilikanoon Attunga 1865 Shiraz 2016,kilikanoon-attunga-1865-shiraz-2016-01.jpg,kilikanoon-attunga-1865-shiraz-2016-02.jpg,303.99,206.94,,,,costed and priced already - the image is the only thing stopping it going live
60,P2,,EXISTING DRAFT,Wine,,,Hentley Farm Clos Otto Shiraz,hentley-farm-clos-otto-shiraz-01.jpg,hentley-farm-clos-otto-shiraz-02.jpg,301.99,205.75,,,,costed and priced already - the image is the only thing stopping it going live
61,P2,,EXISTING DRAFT,Wine,,,Maison Tramier & Fils Corton Grand Cru Pinot Noir 2016,maison-tramier-fils-corton-grand-cru-pinot-noir-2016-01.jpg,maison-tramier-fils-corton-grand-cru-pinot-noir-2016-02.jpg,276.99,188.55,,,,costed and priced already - the image is the only thing stopping it going live
62,P2,,EXISTING DRAFT,Wine,,,House of Arras EJ Carr Late Disgorged,house-of-arras-ej-carr-late-disgorged-01.jpg,house-of-arras-ej-carr-late-disgorged-02.jpg,272.99,185.89,,,,costed and priced already - the image is the only thing stopping it going live
63,P2,,EXISTING DRAFT,Wine,,,Ruinart Rose Second Skin,ruinart-rose-second-skin-01.jpg,ruinart-rose-second-skin-02.jpg,267.99,182.35,,,,costed and priced already - the image is the only thing stopping it going live
64,P2,,EXISTING DRAFT,Wine,,,Bollinger Pinot Noir Tx20 Blanc de Noirs Champagne,bollinger-pinot-noir-tx20-blanc-de-noirs-champagne-01.jpg,bollinger-pinot-noir-tx20-blanc-de-noirs-champagne-02.jpg,258.99,176.19,,,,costed and priced already - the image is the only thing stopping it going live
65,P2,,EXISTING DRAFT,Wine,,,Ruinart Blanc de Blanc SS,ruinart-blanc-de-blanc-ss-01.jpg,ruinart-blanc-de-blanc-ss-02.jpg,256.99,174.82,3185370712009,,,costed and priced already - the image is the only thing stopping it going live
66,P2,,EXISTING DRAFT,Wine,,,San Polo Brunello di Montalcino Riserva DOCG 2012 Sangiovese Tuscany Italy,san-polo-brunello-di-montalcino-riserva-docg-2012-sangiovese-tuscany-italy-01.jpg,san-polo-brunello-di-montalcino-riserva-docg-2012-sangiovese-tuscany-italy-02.jpg,256.99,174.90,,,,costed and priced already - the image is the only thing stopping it going live
67,P2,,EXISTING DRAFT,Wine,,,Maison Tramier & Fils Vosne-Romanee Pinot Noir 2020,maison-tramier-fils-vosne-romanee-pinot-noir-2020-01.jpg,maison-tramier-fils-vosne-romanee-pinot-noir-2020-02.jpg,253.99,172.67,,,,costed and priced already - the image is the only thing stopping it going live
68,P2,,EXISTING DRAFT,Wine,,,Grant Burge Meshach Shiraz V19,grant-burge-meshach-shiraz-v19-01.jpg,grant-burge-meshach-shiraz-v19-02.jpg,251.99,171.36,,,,costed and priced already - the image is the only thing stopping it going live
69,P2,,EXISTING DRAFT,Wine,,,Wendouree Cabernet Sauvignon,wendouree-cabernet-sauvignon-01.jpg,wendouree-cabernet-sauvignon-02.jpg,250.99,,,,,costed and priced already - the image is the only thing stopping it going live
70,P2,,EXISTING DRAFT,Wine,,,Billecart-Salmon Brut Rosé,billecart-salmon-brut-rose-01.jpg,billecart-salmon-brut-rose-02.jpg,238.99,162.79,,,,costed and priced already - the image is the only thing stopping it going live
71,P2,,EXISTING DRAFT,Wine,,,Billecart Salmon Brut Sous Bois,billecart-salmon-brut-sous-bois-01.jpg,billecart-salmon-brut-sous-bois-02.jpg,238.99,162.79,,,,costed and priced already - the image is the only thing stopping it going live
72,P2,,EXISTING DRAFT,Wine,,,Veuve Clicquot Rose Reserve,veuve-clicquot-rose-reserve-01.jpg,veuve-clicquot-rose-reserve-02.jpg,215.99,147.04,,,,costed and priced already - the image is the only thing stopping it going live
73,P2,,EXISTING DRAFT,Wine,,,Tenuta Meraviglia Rosso Bolgheri Superiore 2018,tenuta-meraviglia-rosso-bolgheri-superiore-2018-01.jpg,tenuta-meraviglia-rosso-bolgheri-superiore-2018-02.jpg,210.99,143.79,,,,costed and priced already - the image is the only thing stopping it going live
74,P2,,EXISTING DRAFT,Wine,,,Bollinger Rose NV,bollinger-rose-nv-01.jpg,bollinger-rose-nv-02.jpg,197.99,134.81,,,,costed and priced already - the image is the only thing stopping it going live
75,P2,,EXISTING DRAFT,Wine,,,Dow's 30 Year Old Tawny Port,dow-s-30-year-old-tawny-port-01.jpg,dow-s-30-year-old-tawny-port-02.jpg,196.99,133.97,,,,costed and priced already - the image is the only thing stopping it going live
76,P2,,EXISTING DRAFT,Wine,,,Marziano Abbona DOCG Barolo,marziano-abbona-docg-barolo-01.jpg,marziano-abbona-docg-barolo-02.jpg,191.99,130.90,,,,costed and priced already - the image is the only thing stopping it going live
77,P2,,EXISTING DRAFT,Wine,,,Fontanafredda Vigna la Rosa Barolo DOCG Italy,fontanafredda-vigna-la-rosa-barolo-docg-italy-01.jpg,fontanafredda-vigna-la-rosa-barolo-docg-italy-02.jpg,191.99,130.28,,,,costed and priced already - the image is the only thing stopping it going live
78,P2,,EXISTING DRAFT,Wine,,,Champagne Deutz Brut Rose NV,champagne-deutz-brut-rose-nv-01.jpg,champagne-deutz-brut-rose-nv-02.jpg,185.99,126.81,,,,costed and priced already - the image is the only thing stopping it going live
79,P2,,EXISTING DRAFT,Wine,,,Wynns Riddoch Cabernet Sauvignon,wynns-riddoch-cabernet-sauvignon-01.jpg,wynns-riddoch-cabernet-sauvignon-02.jpg,184.99,125.89,,,,costed and priced already - the image is the only thing stopping it going live
80,P2,,EXISTING DRAFT,Wine,,,R de Ruinart Brut,r-de-ruinart-brut-01.jpg,r-de-ruinart-brut-02.jpg,183.99,125.44,3185370283905,,,costed and priced already - the image is the only thing stopping it going live
81,P2,,EXISTING DRAFT,Wine,,,Collet Vintage 2014,collet-vintage-2014-01.jpg,collet-vintage-2014-02.jpg,180.99,122.98,,,,costed and priced already - the image is the only thing stopping it going live
82,P2,,EXISTING DRAFT,Wine,,,Donne Fittipaldi Malaroja Malbec Super Tuscan,donne-fittipaldi-malaroja-malbec-super-tuscan-01.jpg,donne-fittipaldi-malaroja-malbec-super-tuscan-02.jpg,175.99,119.90,,,,costed and priced already - the image is the only thing stopping it going live
83,P2,,EXISTING DRAFT,Wine,,,Moët & Chandon Vintage,moet-chandon-vintage-01.jpg,moet-chandon-vintage-02.jpg,172.99,117.57,3185370769270,,,costed and priced already - the image is the only thing stopping it going live
84,P2,,EXISTING DRAFT,Wine,,,Fontanafredda Barolo Proprieta DOCG Italy,fontanafredda-barolo-proprieta-docg-italy-01.jpg,fontanafredda-barolo-proprieta-docg-italy-02.jpg,169.99,115.80,,,,costed and priced already - the image is the only thing stopping it going live
85,P2,,EXISTING DRAFT,Wine,,,Petaluma Anova Cabernet Sauvignon,petaluma-anova-cabernet-sauvignon-01.jpg,petaluma-anova-cabernet-sauvignon-02.jpg,166.99,113.52,,,,costed and priced already - the image is the only thing stopping it going live
86,P2,,EXISTING DRAFT,Wine,,,Petaluma Anova Chardonnay,petaluma-anova-chardonnay-01.jpg,petaluma-anova-chardonnay-02.jpg,166.99,113.52,,,,costed and priced already - the image is the only thing stopping it going live
87,P2,,EXISTING DRAFT,Wine,,,Lacourte-Godbillon Rose Premier Cru (Pinot Noir) - Champagne France,lacourte-godbillon-rose-premier-cru-pinot-noir-champagne-france-01.jpg,lacourte-godbillon-rose-premier-cru-pinot-noir-champagne-france-02.jpg,164.99,112.20,,,,costed and priced already - the image is the only thing stopping it going live
88,P2,,EXISTING DRAFT,Wine,,,Cloudy Bay Te Wahi,cloudy-bay-te-wahi-01.jpg,cloudy-bay-te-wahi-02.jpg,163.99,111.21,,,,costed and priced already - the image is the only thing stopping it going live
89,P2,,EXISTING DRAFT,Wine,,,Eileen Hardy Shiraz V20,eileen-hardy-shiraz-v20-01.jpg,eileen-hardy-shiraz-v20-02.jpg,163.99,111.15,,,,costed and priced already - the image is the only thing stopping it going live
90,P2,,EXISTING DRAFT,Wine,,,First Drop Fat Of the Land Seppeltsfield Shiraz 2021,first-drop-fat-of-the-land-seppeltsfield-shiraz-2021-01.jpg,first-drop-fat-of-the-land-seppeltsfield-shiraz-2021-02.jpg,156.99,106.42,,,,costed and priced already - the image is the only thing stopping it going live
91,P2,,EXISTING DRAFT,Wine,,,Piombaia DOCG Brunello di Montalcino,piombaia-docg-brunello-di-montalcino-01.jpg,piombaia-docg-brunello-di-montalcino-02.jpg,154.99,105.24,,,,costed and priced already - the image is the only thing stopping it going live
92,P2,,EXISTING DRAFT,Wine,,,Joseph Drouhin Cote de Beaune Blanc,joseph-drouhin-cote-de-beaune-blanc-01.jpg,joseph-drouhin-cote-de-beaune-blanc-02.jpg,154.99,115.50,,,,costed and priced already - the image is the only thing stopping it going live
93,P2,,EXISTING DRAFT,Wine,,,Champagne Deutz Brut Rose,champagne-deutz-brut-rose-01.jpg,champagne-deutz-brut-rose-02.jpg,153.99,104.56,,,,costed and priced already - the image is the only thing stopping it going live
94,P2,,EXISTING DRAFT,Wine,,,Hardys Eileen Hardy Chardonnay V21,hardys-eileen-hardy-chardonnay-v21-01.jpg,hardys-eileen-hardy-chardonnay-v21-02.jpg,152.99,104.06,,,,costed and priced already - the image is the only thing stopping it going live
95,P2,,EXISTING DRAFT,Wine,,,Eileen Hardy Pinot Noir V21,eileen-hardy-pinot-noir-v21-01.jpg,eileen-hardy-pinot-noir-v21-02.jpg,150.99,102.88,,,,costed and priced already - the image is the only thing stopping it going live
96,P2,,EXISTING DRAFT,Wine,,,Giboulot Beaune Clos du Roi 1er Cru,giboulot-beaune-clos-du-roi-1er-cru-01.jpg,giboulot-beaune-clos-du-roi-1er-cru-02.jpg,150.99,102.88,,,,costed and priced already - the image is the only thing stopping it going live
97,P2,,EXISTING DRAFT,Wine,,,Penfolds St Henri Shiraz,penfolds-st-henri-shiraz-01.jpg,penfolds-st-henri-shiraz-02.jpg,149.99,101.65,9310297057610,,,costed and priced already - the image is the only thing stopping it going live
98,P2,,EXISTING DRAFT,Wine,,,Pol Roger Brut Non Vintage,pol-roger-brut-non-vintage-01.jpg,pol-roger-brut-non-vintage-02.jpg,149.99,102.21,3260923012000,,,costed and priced already - the image is the only thing stopping it going live
99,P2,,EXISTING DRAFT,Wine,,,Poggio Landi Brunello di Montalcino DOCG 2018,poggio-landi-brunello-di-montalcino-docg-2018-01.jpg,poggio-landi-brunello-di-montalcino-docg-2018-02.jpg,145.99,98.86,,,,costed and priced already - the image is the only thing stopping it going live
100,P2,,EXISTING DRAFT,Wine,,,Cape Mentelle Heritage Cabernet Margaret River,cape-mentelle-heritage-cabernet-margaret-river-01.jpg,cape-mentelle-heritage-cabernet-margaret-river-02.jpg,143.99,97.91,,,,costed and priced already - the image is the only thing stopping it going live
101,P2,,EXISTING DRAFT,Wine,,,Collet Rose,collet-rose-01.jpg,collet-rose-02.jpg,143.99,98.15,,,,costed and priced already - the image is the only thing stopping it going live
102,P2,,EXISTING DRAFT,Wine,,,Cape Mentelle Heritage Chardonnay Margaret River,cape-mentelle-heritage-chardonnay-margaret-river-01.jpg,cape-mentelle-heritage-chardonnay-margaret-river-02.jpg,143.99,97.91,,,,costed and priced already - the image is the only thing stopping it going live
103,P2,,EXISTING DRAFT,Wine,,,Champagne Laurent-Perrier la Cuvee,champagne-laurent-perrier-la-cuvee-01.jpg,champagne-laurent-perrier-la-cuvee-02.jpg,142.99,97.46,,,,costed and priced already - the image is the only thing stopping it going live
104,P2,,EXISTING DRAFT,Wine,,,Xanadu Reserve Cabernet Sauvignon,xanadu-reserve-cabernet-sauvignon-01.jpg,xanadu-reserve-cabernet-sauvignon-02.jpg,142.99,96.96,,,,costed and priced already - the image is the only thing stopping it going live
